Nome,Nascimento,CPF,Email,Servidor,Setor,Salário,Filial,,Nome,João Martins
Cesar Pedrosa,11/24/1974,829.838.462-52,cesarpedrosa@terra.com,terra,Comercial,R$ 3.250,Rio Grande Do Sul,,,
Daniel Bernardo,7/12/1980,355.630.126-93,danielbernardo@gmail.com,gmail,Comercial,R$ 4.500,Bahia,,,
Luis Alves,3/3/2002,177.312.072-19,luisalves@uol.com,uol,Gestão,R$ 22.750,Minas Gerais,,,
Elizabeth Coelho,2/13/2001,694.908.613-00,elizabethcoelho@gmail.com,gmail,Comercial,R$ 5.500,Sergipe,,,
Maria Almeida,9/30/1983,646.366.751-83,mariaalmeida@uol.com,uol,Comercial,R$ 5.250,Amapá,,,
Tatiane Hernandez,11/28/1960,311.167.287-65,tatianehernandez@hotmail.com,hotmail,Marketing,R$ 6.500,Bahia,,,
Tainara Rodrigues,1/21/1970,559.516.104-19,tainararodrigues@hotmail.com,hotmail,Financeiro,R$ 8.250,Minas Gerais,,,
Izaias Viana,8/4/1989,561.066.746-49,izaiasviana@globo.com,globo,Produção,R$ 9.500,Rio De Janeiro,,,
Michael Rebello,3/27/2000,162.100.703-34,michaelrebello@terra.com,terra,Marketing,R$ 11.750,São Paulo,,,
Wenilson Gonçalves,11/20/1981,730.861.509-08,wenilsongonçalves@live.com,live,Gestão,R$ 20.750,Bahia,,,
Deyse Viana,1/24/1985,488.862.775-66,deyseviana@live.com,live,Comercial,R$ 4.750,São Paulo,,,
José Soares,12/15/1970,854.903.386-28,josésoares@uol.com,uol,Comercial,R$ 4.250,Amazonas,,,
Luiz Silva,8/10/1957,363.812.738-92,luizsilva@outlook.com,outlook,Financeiro,R$ 8.500,Bahia,,,
Danielle Pereira,8/2/1999,534.577.364-10,daniellepereira@outlook.com,outlook,Financeiro,R$ 3.000,Rio De Janeiro,,,
Alvaro Santos,1/13/1994,639.086.474-78,alvarosantos@terra.com,terra,Marketing,R$ 4.500,Espírito Santo,,,
Kelly Maciel,6/25/1985,659.479.376-88,kellymaciel@hotmail.com,hotmail,Marketing,R$ 5.000,Rio De Janeiro,,,
Eliane Furtado,4/25/1950,700.835.381-68,elianefurtado@terra.com,terra,Marketing,R$ 6.250,Rio De Janeiro,,,
Kely Araujo,9/6/1966,825.432.394-18,kelyaraujo@terra.com,terra,Administrativo,R$ 4.000,Santa Catarina,,,
Nathalia Silva,9/3/1993,540.512.249-31,nathaliasilva@outlook.com,outlook,Administrativo,R$ 6.250,Piauí,,,
Victor Medeiros,4/20/1999,610.926.824-08,victormedeiros@terra.com,terra,Marketing,R$ 6.000,São Paulo,,,
Patricia Fernandes,2/16/1969,681.755.034-31,patriciafernandes@gmail.com,gmail,Gestão,R$ 27.500,Sergipe,,,
Kelen Dias,10/26/1957,235.798.787-41,kelendias@gmail.com,gmail,Comercial,R$ 8.750,São Paulo,,,
Leonardo Filho,12/15/1963,181.756.001-23,leonardofilho@uol.com,uol,Financeiro,R$ 5.500,Amazonas,,,
Daniele Lourenço,3/9/1981,794.866.331-96,danielelourenço@hotmail.com,hotmail,Financeiro,R$ 3.000,Rondônia,,,
Kamyla Dias,2/15/1978,148.539.736-89,kamyladias@globo.com,globo,Comercial,R$ 5.500,Rio Grande Do Sul,,,
Julia Rodrigues,8/23/1996,162.188.109-36,juliarodrigues@terra.com,terra,Marketing,R$ 6.000,Amazonas,,,
Ana Monteiro,10/8/1976,936.581.358-89,anamonteiro@gmail.com,gmail,Marketing,R$ 6.500,Alagoas,,,
Maria Domingos,9/11/1974,929.564.457-13,mariadomingos@globo.com,globo,Gestão,R$ 3.500,São Paulo,,,
Edson Pereira,12/22/1975,262.721.067-13,edsonpereira@terra.com,terra,Compras,R$ 18.000,Maranhão,,,
Carlos Medina,5/1/1995,494.470.546-97,carlosmedina@hotmail.com,hotmail,Administrativo,R$ 10.250,Amazonas,,,
Emerson Lucio,11/3/1983,903.010.426-98,emersonlucio@uol.com,uol,Produção,R$ 5.500,Bahia,,,
Maria Montero,8/23/1982,638.551.051-12,mariamontero@hotmail.com,hotmail,Comercial,R$ 16.250,Rio De Janeiro,,,
Michael Figueira,5/26/1971,608.157.532-53,michaelfigueira@terra.com,terra,Administrativo,R$ 4.250,Santa Catarina,,,
Wander Nascimento,1/31/1985,598.618.443-03,wandernascimento@gmail.com,gmail,Financeiro,R$ 3.750,Maranhão,,,
José Brixner,1/1/1969,310.860.652-43,josébrixner@gmail.com,gmail,Compras,R$ 5.500,Amapá,,,
Ailton Ramos,4/13/1966,901.964.487-16,ailtonramos@terra.com,terra,Financeiro,R$ 5.000,Rondônia,,,
Mariana Abreu,4/7/2000,180.321.713-42,marianaabreu@globo.com,globo,Comercial,R$ 7.000,Mato Grosso Do Sul,,,
Tomas Lula,9/28/1956,485.061.461-25,tomaslula@gmail.com,gmail,Financeiro,R$ 3.000,Rio De Janeiro,,,
Beatriz Fragoso,2/13/1955,992.036.520-28,beatrizfragoso@terra.com,terra,Administrativo,R$ 5.000,Rondônia,,,
Antônio Nascimento,3/20/1969,605.672.464-98,antônionascimento@live.com,live,Compras,R$ 5.000,Rio De Janeiro,,,
Geovane Villegas,8/14/1953,289.311.279-22,geovanevillegas@gmail.com,gmail,Gestão,R$ 6.250,Rio De Janeiro,,,
Thiago Guimarães,9/30/1986,846.945.815-89,thiagoguimarães@gmail.com,gmail,Compras,R$ 4.750,Tocantins,,,
Rogerio Leitão,9/2/1956,823.057.442-59,rogerioleitão@outlook.com,outlook,Marketing,R$ 24.750,Pernambuco,,,
Maximo Avila,12/11/1975,948.019.773-19,maximoavila@live.com,live,Financeiro,R$ 3.750,Rio De Janeiro,,,
Luciano Alves,4/10/1993,642.860.600-97,lucianoalves@gmail.com,gmail,Administrativo,R$ 5.000,Piauí,,,
Elisangela Joekel,6/9/1980,803.968.494-25,elisangelajoekel@gmail.com,gmail,Gestão,R$ 5.250,Goiás,,,
Wilton Bertolino,5/18/1956,779.292.222-43,wiltonbertolino@gmail.com,gmail,Comercial,R$ 6.750,São Paulo,,,
Guilherme Júlio,11/22/1998,755.658.795-30,guilhermejúlio@gmail.com,gmail,Administrativo,R$ 10.750,Rio Grande Do Sul,,,
Rafael Silva,5/13/1973,613.895.672-82,rafaelsilva@gmail.com,gmail,Financeiro,R$ 20.000,Mato Grosso Do Sul,,,
Gabriel Algarve,1/17/1995,150.743.099-42,gabrielalgarve@gmail.com,gmail,Comercial,R$ 17.000,Rio De Janeiro,,,
Gilvan Oliveira,12/31/2001,134.947.971-17,gilvanoliveira@terra.com,terra,Marketing,R$ 6.500,Bahia,,,
Simone Barbosa,2/14/1982,526.946.711-05,simonebarbosa@uol.com,uol,Administrativo,R$ 5.000,Pernambuco,,,
Maycon Braghini,3/17/1972,714.770.545-25,mayconbraghini@gmail.com,gmail,Administrativo,R$ 25.500,Paraná,,,
Rosana Lima,6/16/1965,802.854.138-64,rosanalima@uol.com,uol,Administrativo,R$ 3.750,Pará,,,
Luciana Tavares,10/11/1962,414.280.837-53,lucianatavares@gmail.com,gmail,Comercial,R$ 8.000,Pernambuco,,,
Daniel Rallo,3/24/1978,204.177.144-52,danielrallo@outlook.com,outlook,Financeiro,R$ 17.000,Rio Grande Do Sul,,,
Joana Lunardi,10/18/1961,133.590.001-42,joanalunardi@uol.com,uol,Administrativo,R$ 4.750,Tocantins,,,
Sérgio Pinheiro,1/23/1999,618.460.807-38,sérgiopinheiro@gmail.com,gmail,Comercial,R$ 28.000,Rio Grande Do Sul,,,
Benedita Grigorio,10/29/1987,898.501.516-82,beneditagrigorio@outlook.com,outlook,Compras,R$ 3.250,Rio De Janeiro,,,
Jussara Baptista,9/10/1988,168.674.108-18,jussarabaptista@terra.com,terra,Comercial,R$ 2.500,Paraná,,,
Cesar Coelho,12/23/1986,314.724.093-93,cesarcoelho@hotmail.com,hotmail,Marketing,R$ 5.250,São Paulo,,,
Raíssa Gomez,1/30/1999,676.271.702-95,raíssagomez@hotmail.com,hotmail,Comercial,R$ 5.750,Paraná,,,
Beatriz Jesus,9/22/1976,710.658.148-65,beatrizjesus@gmail.com,gmail,Comercial,R$ 27.000,Pernambuco,,,
Marcos Rodrigues,9/28/1978,516.147.313-46,marcosrodrigues@globo.com,globo,Gestão,R$ 16.000,Rio De Janeiro,,,
Júlia Carlos,4/10/1965,142.692.344-40,júliacarlos@terra.com,terra,Administrativo,R$ 6.250,Rio Grande Do Norte,,,
Renata Vaze,4/29/1954,624.026.157-08,renatavaze@hotmail.com,hotmail,Comercial,R$ 4.000,Rio De Janeiro,,,
Joselma Castelo,11/11/1987,651.421.155-72,joselmacastelo@globo.com,globo,Compras,R$ 9.750,Maranhão,,,
Ailson Evaristo,7/30/1970,485.773.569-73,ailsonevaristo@terra.com,terra,Comercial,R$ 26.000,Rondônia,,,
Gilvania Christovao,9/18/1985,117.835.687-05,gilvaniachristovao@terra.com,terra,Financeiro,R$ 8.000,Amazonas,,,
Geraldo Wajsenzon,2/16/1954,921.955.575-55,geraldowajsenzon@globo.com,globo,Financeiro,R$ 7.000,Amazonas,,,
Jaqueline Janei,4/11/1982,274.910.899-79,jaquelinejanei@uol.com,uol,Financeiro,R$ 4.750,Rio De Janeiro,,,
Fabio Vitalino,8/12/1971,189.380.929-46,fabiovitalino@terra.com,terra,Marketing,R$ 18.750,Amazonas,,,
Helio Santos,3/27/2002,459.566.624-20,heliosantos@hotmail.com,hotmail,Gestão,R$ 6.000,Piauí,,,
Verônica Brixner,2/18/1978,942.182.496-03,verônicabrixner@gmail.com,gmail,Marketing,R$ 4.500,Rio Grande Do Sul,,,
Thays Domingos,4/20/1992,112.142.260-39,thaysdomingos@hotmail.com,hotmail,Administrativo,R$ 5.250,Rio De Janeiro,,,
Nayara Lima,7/18/1967,999.199.501-06,nayaralima@terra.com,terra,Marketing,R$ 2.750,Acre,,,
Rosana Coelho,2/14/2001,374.508.498-63,rosanacoelho@gmail.com,gmail,Marketing,R$ 12.250,Tocantins,,,
Natália Rufino,12/4/1978,687.395.039-85,natáliarufino@terra.com,terra,Marketing,R$ 8.250,Tocantins,,,
Monike Oliveira,6/23/1982,310.753.653-28,monikeoliveira@gmail.com,gmail,Gestão,R$ 5.250,Mato Grosso,,,
Raphael Alves,4/13/1970,125.397.023-57,raphaelalves@uol.com,uol,Gestão,R$ 3.000,Rio De Janeiro,,,
Renan Moreira,8/8/1952,498.848.155-70,renanmoreira@gmail.com,gmail,Marketing,R$ 5.500,Rio Grande Do Sul,,,
Lucas Candido,3/9/1985,571.082.863-56,lucascandido@uol.com,uol,Produção,R$ 5.500,Bahia,,,
Felipe Zacarias,12/18/1956,413.273.240-93,felipezacarias@hotmail.com,hotmail,Gestão,R$ 17.750,Rio De Janeiro,,,
Jussara Marques,3/3/1953,785.465.213-57,jussaramarques@gmail.com,gmail,Financeiro,R$ 7.500,Rondônia,,,
Eder Martins,11/29/1961,416.324.242-51,edermartins@globo.com,globo,Financeiro,R$ 4.250,Pernambuco,,,
Getulio Ramos,4/27/1970,495.837.665-04,getulioramos@globo.com,globo,Gestão,R$ 28.000,Rondônia,,,
Vivian Rolien,6/7/2001,383.923.003-53,vivianrolien@uol.com,uol,Comercial,R$ 3.500,Rio De Janeiro,,,
Jose Carreiro,1/8/1964,139.413.849-19,josecarreiro@globo.com,globo,Marketing,R$ 8.000,Rio De Janeiro,,,
Bernardo Araujo,8/25/1982,588.182.978-07,bernardoaraujo@hotmail.com,hotmail,Marketing,R$ 8.500,Rio Grande Do Norte,,,
Cícero Guimarães,1/30/1986,955.779.890-97,cíceroguimarães@globo.com,globo,Gestão,R$ 3.250,Roraima,,,
Andre Scopel,3/7/1997,580.536.058-97,andrescopel@uol.com,uol,Comercial,R$ 24.250,Rio De Janeiro,,,
Maria Alves,1/18/2001,250.335.999-78,mariaalves@gmail.com,gmail,Marketing,R$ 27.250,Rio Grande Do Sul,,,
Sarah Gouvea,5/12/1985,673.276.828-00,sarahgouvea@gmail.com,gmail,Financeiro,R$ 5.750,Rio De Janeiro,,,
Geovane Castro,6/9/1984,188.314.757-47,geovanecastro@terra.com,terra,Comercial,R$ 7.250,Rondônia,,,
Tatiane Gonzaga,10/1/1996,809.298.503-24,tatianegonzaga@terra.com,terra,Financeiro,R$ 4.500,Mato Grosso,,,
Alexandre Rolien,4/28/1968,945.240.451-83,alexandrerolien@hotmail.com,hotmail,Comercial,R$ 4.250,Pernambuco,,,
Mario Ferreira,10/1/1966,267.107.007-98,marioferreira@live.com,live,Gestão,R$ 7.250,Pará,,,
Roberto Santos,3/28/1968,557.541.992-47,robertosantos@gmail.com,gmail,Administrativo,R$ 24.250,Rio De Janeiro,,,
Giovanni Lima,9/21/1985,513.958.415-23,giovannilima@uol.com,uol,Comercial,R$ 6.750,Alagoas,,,
Fabio Feltrini,11/14/1976,310.436.191-74,fabiofeltrini@gmail.com,gmail,Financeiro,R$ 13.000,Amazonas,,,
Carlos Silva,12/14/2001,225.700.303-48,carlossilva@outlook.com,outlook,Administrativo,R$ 17.500,Minas Gerais,,,
Brenda Pereira,8/30/1954,462.605.440-37,brendapereira@hotmail.com,hotmail,Marketing,R$ 8.000,Pernambuco,,,
Alexandre Lima,11/21/1977,693.348.544-84,alexandrelima@terra.com,terra,Comercial,R$ 5.000,Bahia,,,
Maria Manhães,2/18/1988,871.528.617-79,mariamanhães@gmail.com,gmail,Financeiro,R$ 6.250,Paraná,,,
Daniel Benbow,12/17/1963,818.872.752-23,danielbenbow@gmail.com,gmail,Financeiro,R$ 12.750,Paraíba,,,
Paulo Pereira,7/31/1955,641.691.278-11,paulopereira@terra.com,terra,Marketing,R$ 13.750,Rondônia,,,
Eduardo Leocádio,11/20/1991,292.585.306-86,eduardoleocádio@uol.com,uol,Marketing,R$ 2.750,Rio Grande Do Sul,,,
Valdemir Maciel,8/8/1994,145.639.634-12,valdemirmaciel@hotmail.com,hotmail,Marketing,R$ 5.750,Rio De Janeiro,,,
Jorge Ferreira,2/2/1966,485.024.544-47,jorgeferreira@hotmail.com,hotmail,Administrativo,R$ 6.000,Sergipe,,,
Carolina Medina,6/1/1992,153.633.313-53,carolinamedina@gmail.com,gmail,Marketing,R$ 27.250,Pará,,,
Angelica Sabino,4/30/1971,412.854.080-83,angelicasabino@hotmail.com,hotmail,Gestão,R$ 8.250,Rondônia,,,
Janaina Mendes,6/17/1991,189.932.245-18,janainamendes@terra.com,terra,Compras,R$ 4.000,Rio De Janeiro,,,
Marcia Lodi,3/9/1968,184.845.674-61,marcialodi@terra.com,terra,Compras,R$ 13.250,Bahia,,,
Lívia Pinto,6/7/1999,486.984.041-33,líviapinto@outlook.com,outlook,Financeiro,R$ 4.750,Bahia,,,
Michael Teixeira,3/4/1982,907.700.966-39,michaelteixeira@live.com,live,Gestão,R$ 4.500,Pernambuco,,,
Aparecida Paes,3/4/1961,100.229.625-61,aparecidapaes@live.com,live,Gestão,R$ 2.750,Pernambuco,,,
Edson Alves,11/25/1978,486.489.191-16,edsonalves@gmail.com,gmail,Marketing,R$ 6.500,Bahia,,,
Jean Florêncio,2/24/1954,478.188.720-94,jeanflorêncio@gmail.com,gmail,Marketing,R$ 22.250,Rio De Janeiro,,,
Wilson Trevizoli,9/2/1989,806.743.504-28,wilsontrevizoli@gmail.com,gmail,Comercial,R$ 4.000,Rio De Janeiro,,,
Danilo Santos,10/2/1977,937.578.283-48,danilosantos@live.com,live,Compras,R$ 19.750,Rio De Janeiro,,,
Elton Algarve,2/8/1961,955.395.168-96,eltonalgarve@terra.com,terra,Gestão,R$ 6.000,Rio Grande Do Sul,,,
Rui Bianchi,11/11/1988,143.878.169-47,ruibianchi@globo.com,globo,Comercial,R$ 4.250,Bahia,,,
Icaro Silva,10/5/1989,864.879.526-32,icarosilva@terra.com,terra,Financeiro,R$ 5.000,Rio De Janeiro,,,
Luiz Gonçalves,5/6/1958,559.773.918-69,luizgonçalves@globo.com,globo,Financeiro,R$ 3.000,Pará,,,
Mauricio Gonçalves,9/29/1960,728.112.120-03,mauriciogonçalves@hotmail.com,hotmail,Administrativo,R$ 6.250,São Paulo,,,
Vivian Perira,6/19/1960,907.311.263-83,vivianperira@globo.com,globo,Comercial,R$ 5.500,Amazonas,,,
Homero Alves,10/14/1998,673.355.576-89,homeroalves@gmail.com,gmail,Administrativo,R$ 3.000,Distrito Federal,,,
Jose Pereira,3/4/1973,703.900.392-68,josepereira@globo.com,globo,Gestão,R$ 7.500,Rio De Janeiro,,,
Marcos Peixoto,4/28/1996,232.784.696-17,marcospeixoto@gmail.com,gmail,Produção,R$ 5.000,Bahia,,,
Guilherme Pineres,7/12/1982,320.513.233-66,guilhermepineres@gmail.com,gmail,Marketing,R$ 4.000,Paraná,,,
Maria Godoi,9/23/1991,428.412.989-83,mariagodoi@gmail.com,gmail,Comercial,R$ 23.750,Pernambuco,,,
Erivelton Viana,4/4/1987,484.462.623-74,eriveltonviana@terra.com,terra,Produção,R$ 5.000,Rio De Janeiro,,,
Felipe Ferreira,1/11/1992,758.890.198-79,felipeferreira@outlook.com,outlook,Produção,R$ 18.250,Rio De Janeiro,,,
Gustavo Pedrosa,10/27/1983,704.256.589-37,gustavopedrosa@outlook.com,outlook,Gestão,R$ 10.500,Espírito Santo,,,
Heraldo Lima,6/30/1962,632.001.203-00,heraldolima@hotmail.com,hotmail,Comercial,R$ 15.250,Rio De Janeiro,,,
Gabriel Araujo,7/11/1994,276.039.691-31,gabrielaraujo@globo.com,globo,Administrativo,R$ 6.500,Bahia,,,
Bruno Fragoso,4/17/1981,426.334.787-46,brunofragoso@live.com,live,Comercial,R$ 6.750,Paraná,,,
Sebastião Santos,6/18/1969,508.485.674-12,sebastiãosantos@globo.com,globo,Marketing,R$ 3.000,Pernambuco,,,
Cintia Ouríques,5/3/1961,964.032.640-59,cintiaouríques@gmail.com,gmail,Comercial,R$ 6.000,Rio De Janeiro,,,
Willian Ramos,10/17/2001,458.100.626-44,willianramos@globo.com,globo,Gestão,R$ 5.500,Amazonas,,,
José Guimarães,1/12/1974,679.459.258-61,joséguimarães@hotmail.com,hotmail,Gestão,R$ 4.000,Bahia,,,
Marcio Calera,8/26/1966,818.010.666-24,marciocalera@globo.com,globo,Administrativo,R$ 2.500,Bahia,,,
Denise Kubiaki,11/18/1954,416.196.992-20,denisekubiaki@live.com,live,Financeiro,R$ 22.000,Piauí,,,
Fábio Silva,10/2/1961,545.154.089-72,fábiosilva@gmail.com,gmail,Financeiro,R$ 5.500,Ceará,,,
Carina Nocera,12/5/1964,556.739.747-90,carinanocera@live.com,live,Financeiro,R$ 5.750,São Paulo,,,
Roberto Silva,2/26/1992,726.323.891-42,robertosilva@gmail.com,gmail,Gestão,R$ 2.750,Paraná,,,
Paula Zadra,5/22/1999,107.899.638-02,paulazadra@gmail.com,gmail,Comercial,R$ 7.750,Paraná,,,
Rodrigo Sousa,3/21/1960,293.598.764-74,rodrigosousa@terra.com,terra,Compras,R$ 8.500,São Paulo,,,
Luis Moreira,9/7/1955,559.223.886-13,luismoreira@hotmail.com,hotmail,Financeiro,R$ 15.250,Goiás,,,
Edson Silva,4/9/1983,546.068.749-61,edsonsilva@live.com,live,Gestão,R$ 19.750,Amazonas,,,
Jose Paladini,4/29/1985,223.757.359-87,josepaladini@gmail.com,gmail,Comercial,R$ 3.500,Minas Gerais,,,
Marino Vieira,5/16/1994,713.008.496-65,marinovieira@gmail.com,gmail,Comercial,R$ 5.250,Amazonas,,,
José Bueno,3/12/2001,722.185.358-01,josébueno@hotmail.com,hotmail,Compras,R$ 6.000,Rio De Janeiro,,,
Elisangela Lima,9/21/1954,310.961.081-04,elisangelalima@live.com,live,Marketing,R$ 2.750,Rio De Janeiro,,,
Viviane Valença,6/15/1985,363.431.657-40,vivianevalença@gmail.com,gmail,Marketing,R$ 8.250,São Paulo,,,
Guilherme Braga,3/19/1988,223.459.062-71,guilhermebraga@terra.com,terra,Gestão,R$ 23.750,Paraná,,,
Anderson Diniz,9/1/2002,389.616.809-52,andersondiniz@terra.com,terra,Comercial,R$ 5.250,Rio De Janeiro,,,
Flavia Lira,9/20/1974,661.784.891-90,flavialira@gmail.com,gmail,Administrativo,R$ 4.500,Minas Gerais,,,
Willian Moreira,9/13/2002,991.034.072-12,willianmoreira@uol.com,uol,Comercial,R$ 5.750,Paraná,,,
Wellington Braga,10/31/1961,960.813.092-86,wellingtonbraga@globo.com,globo,Marketing,R$ 19.500,Minas Gerais,,,
Sebastião Toscano,12/1/1959,608.108.853-10,sebastiãotoscano@terra.com,terra,Marketing,R$ 5.750,Santa Catarina,,,
Ezequiel Cruzeiro,2/27/1990,354.758.105-46,ezequielcruzeiro@gmail.com,gmail,Comercial,R$ 5.750,Rio De Janeiro,,,
Vitor Cintra,3/9/1963,390.988.914-33,vitorcintra@globo.com,globo,Gestão,R$ 22.250,Paraná,,,
Fabio Vila,10/27/1959,796.067.456-36,fabiovila@live.com,live,Administrativo,R$ 26.250,Pernambuco,,,
Rui Barbosa,12/26/1977,374.133.945-84,ruibarbosa@gmail.com,gmail,Administrativo,R$ 9.000,Goiás,,,
Anderson Lima,5/4/1955,520.938.963-16,andersonlima@hotmail.com,hotmail,Gestão,R$ 15.250,Sergipe,,,
Reinaldo Fernando,10/10/2001,814.157.845-77,reinaldofernando@gmail.com,gmail,Comercial,R$ 3.500,Sergipe,,,
Larissa Lopes,7/1/1988,381.215.474-20,larissalopes@gmail.com,gmail,Comercial,R$ 3.500,Rio De Janeiro,,,
Samuel Lopes,8/21/1962,680.457.625-38,samuellopes@gmail.com,gmail,Administrativo,R$ 9.750,Bahia,,,
Maria Valença,11/17/1982,779.240.577-89,mariavalença@live.com,live,Administrativo,R$ 5.500,Paraná,,,
Fernando Severo,11/19/1992,525.085.112-38,fernandosevero@outlook.com,outlook,Compras,R$ 2.750,Pernambuco,,,
Peterson Santos,9/4/2000,199.969.700-34,petersonsantos@gmail.com,gmail,Comercial,R$ 3.250,Rio De Janeiro,,,
Guilherme Alves,3/21/1975,488.224.458-68,guilhermealves@globo.com,globo,Comercial,R$ 17.000,Bahia,,,
Lidia Ferreira,2/27/1960,306.598.382-22,lidiaferreira@outlook.com,outlook,Gestão,R$ 12.250,Amazonas,,,
Vinicius Oliveira,5/26/1992,130.593.155-60,viniciusoliveira@live.com,live,Comercial,R$ 6.500,Santa Catarina,,,
Luiz Perira,4/21/1985,330.250.067-43,luizperira@terra.com,terra,Gestão,R$ 15.000,Amapá,,,
Edson Santana,10/25/1983,387.652.771-72,edsonsantana@gmail.com,gmail,Comercial,R$ 28.000,Sergipe,,,
Suzana Araujo,2/15/1967,221.516.510-47,suzanaaraujo@hotmail.com,hotmail,Produção,R$ 16.750,Rio De Janeiro,,,
Felipe Lopes,5/27/1972,401.786.171-13,felipelopes@gmail.com,gmail,Financeiro,R$ 18.000,Sergipe,,,
Francisco Camina,9/13/1958,315.306.931-87,franciscocamina@outlook.com,outlook,Marketing,R$ 3.500,Minas Gerais,,,
Jefferson Ribeiro,8/4/1991,517.572.794-92,jeffersonribeiro@terra.com,terra,Compras,R$ 4.250,São Paulo,,,
Jorge Patricio,10/3/1963,992.905.101-29,jorgepatricio@gmail.com,gmail,Marketing,R$ 2.500,São Paulo,,,
Marcos Holanda,10/1/1994,751.724.741-92,marcosholanda@globo.com,globo,Marketing,R$ 4.750,Amazonas,,,
Maria Nogueira,9/19/1999,950.092.756-09,marianogueira@gmail.com,gmail,Produção,R$ 2.500,São Paulo,,,
Marcelo Franco,11/27/1959,117.939.459-49,marcelofranco@globo.com,globo,Gestão,R$ 20.750,Rondônia,,,
Daniela Pereira,7/23/1999,890.545.298-52,danielapereira@globo.com,globo,Comercial,R$ 5.250,Minas Gerais,,,
Tereza Alves,9/3/1970,936.028.278-44,terezaalves@outlook.com,outlook,Comercial,R$ 6.500,São Paulo,,,
Luiz Januário,7/27/1975,541.200.637-57,luizjanuário@terra.com,terra,Compras,R$ 25.250,Pernambuco,,,
Eric Fernando,12/21/1964,193.254.916-47,ericfernando@gmail.com,gmail,Gestão,R$ 3.500,Rio De Janeiro,,,
Ana Franco,12/3/1958,940.608.287-13,anafranco@globo.com,globo,Produção,R$ 7.000,Amazonas,,,
Patryck Alves,12/19/1962,343.203.561-55,patryckalves@gmail.com,gmail,Financeiro,R$ 22.500,Pernambuco,,,
Luiz Santana,9/16/1997,651.624.272-73,luizsantana@outlook.com,outlook,Administrativo,R$ 9.500,Paraná,,,
